date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:11	30844/30844	---M--	200	added ('OK')	text/html	etag:%2201c06728ce141f481cb683d0ffebdd33-df%22	http://november-personal-portfolio.bitballoon.com/video%20bg.html	C:/My%20Web%20Sites/my%20web%20example/november-personal-portfolio.bitballoon.com/video%20bg.html	(from )
00:41:12	96/96	---M--	404	error ('Not%20Found')	text/html	etag:1499111994-df	http://november-personal-portfolio.bitballoon.com/robots.txt		(from )
00:41:13	250994/250994	---MC-	200	added ('OK')	text/css	etag:6cbef2199854f577af17f5b1a91b1b501a37fa3c-df	http://d33wubrfki0l68.cloudfront.net/bundles/b9b4449295a5f34e6c9af0801911ed87e3c204f2.css	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/bundles/b9b4449295a5f34e6c9af0801911ed87e3c204f2.css	(from )
00:41:13	2546/2546	---M--	200	added ('OK')	application/javascript	etag:bad36285f754c039a6937e45cc0639e64bb3a139-df	http://d33wubrfki0l68.cloudfront.net/js/21e666fab8b7adeb3454c8930b10ff2840e1df2f/js/html5shiv.js	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/js/21e666fab8b7adeb3454c8930b10ff2840e1df2f/js/html5shiv.js	(from )
00:41:13	4454/4454	---M--	200	added ('OK')	application/javascript	etag:6a6b30cd9c3a4d11993890caf7617f84e1d7a227-df	http://d33wubrfki0l68.cloudfront.net/js/75c13038f98fb9a4d258df3fb3d754541792d993/js/respond-1.4.2/respond.min.js	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/js/75c13038f98fb9a4d258df3fb3d754541792d993/js/respond-1.4.2/respond.min.js	(from )
00:41:17	17191/17191	---M--	200	added ('OK')	image/jpeg	etag:2461439afe6218936238c1ab625e0ca7a6612d4b	http://d33wubrfki0l68.cloudfront.net/82855c8a77d65edb20e2edb6b6fd61c92e3993ef/d7162/images/2.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/82855c8a77d65edb20e2edb6b6fd61c92e3993ef/d7162/images/2.jpg	(from )
00:41:18	21528/21528	---M--	200	added ('OK')	image/jpeg	etag:d17e0e5f64ccacca06d9f2b0e85b209f68ffc790	http://d33wubrfki0l68.cloudfront.net/73ed41ed8fa9620eebcf2c0b86408e93a1b764b0/5dffb/images/1.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/73ed41ed8fa9620eebcf2c0b86408e93a1b764b0/5dffb/images/1.jpg	(from )
00:41:19	10177/10177	---M--	200	added ('OK')	image/jpeg	etag:ef5ceec11d8d2c808efa9ca0b615deabf6d830a3	http://d33wubrfki0l68.cloudfront.net/33bb9035c1e320d9ed60c56733ff0c92a9201008/270c8/images/3.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/33bb9035c1e320d9ed60c56733ff0c92a9201008/270c8/images/3.jpg	(from )
00:41:20	11439/11439	---M--	200	added ('OK')	image/jpeg	etag:8b24a32bc9e9410af49fc2c3f6eaeeab0925783d	http://d33wubrfki0l68.cloudfront.net/e246f597a19b84def45d88215ae3ae24682e1e31/2ddfb/images/4.jpg	C:/My%20Web%20Sites/my%20web%20example/d33wubrfki0l68.cloudfront.net/e246f597a19b84def45d88215ae3ae24682e1e31/2ddfb/images/4.jpg	(from )
00:41:20	42673/42673	---M--	200	added ('OK')	image/jpeg	etag:%2270ce0ed676a5dfdd8c502824bbf22336%22	http://november-personal-portfolio.bitballoon.com/images/pexels-photo%20(1).jpg	C:/My%20Web%20Sites/my%20web%20example/november-personal-portfolio.bitballoon.com/images/pexels-photo%20(1).jpg	(from )
